0,0,neutral,0.5,0
0,0,neutral,0.5,0
0.437229437,0.475541126,postive,1,1
0.16875,0.544642857,postive,1,1
0.315277778,0.466666667,postive,0.75,1
0.255772569,0.484027778,postive,1,1
0.25,0.5,postive,1,1
0.042708333,0.662962963,postive,0,1
0.155555556,0.461111111,postive,0.75,1
-0.325,0.567857143,negative,0,-1
0.054861111,0.463888889,postive,0,1
-0.228125,0.503125,negative,0,-1
0.224821429,0.616845238,postive,0.75,1
0.192857143,0.446428571,postive,1,1
0.045238095,0.267619048,postive,0.5,1
0.166666667,0.583333333,postive,0.25,1
0.36,0.65,postive,0.5,1
0.076190476,0.450396825,postive,0,1
0.310760668,0.568181818,postive,0.75,1
0.233333333,0.4,postive,0.75,1
0.29625,0.46375,postive,0.5,1
0.162386364,0.53375,postive,0.5,1
0.038541887,0.491234019,postive,0.25,1
0.7,0.6,postive,1,1
0.433333333,0.566666667,postive,1,1
0.6,0.6625,postive,1,1
0.533333333,0.666666667,postive,0,1
0.138068182,0.646153199,postive,1,1
0.245388889,0.462944444,postive,1,1
0.435416667,0.697916667,postive,0.75,1
0.067708333,0.617708333,postive,0.75,1
0.052564103,0.594871795,postive,0.5,1
-0.6,0.433333333,negative,0.25,-1
0.340972222,0.508333333,postive,1,1
0.336296296,0.628888889,postive,0.5,1
0.246666667,0.466666667,postive,1,1
-0.128205128,0.453846154,negative,0.5,-1
0.335,0.448333333,postive,1,1
0.006574675,0.370779221,postive,0.75,1
-0.408333333,0.675,negative,0,-1
-0.025,0.529166667,negative,1,-1
0.2875,0.620833333,postive,0.5,1
0.276969697,0.542954545,postive,0.25,1
0.333333333,0.8,postive,0.75,1
-0.306944444,0.511111111,negative,0,-1
0.49,0.84,postive,0.5,1
0.107894737,0.453007519,postive,1,1
0.326923077,0.561538462,postive,1,1
0.05,0.691666667,postive,0,1
0.311363636,0.525,postive,1,1
0.262662338,0.631818182,postive,0.5,1
0.483333333,0.775,postive,0.75,1
0.013846154,0.371538462,postive,0.25,1
-0.625,0.3,negative,0,-1
-0.1,0.3,negative,0.25,-1
0.765,0.945,postive,1,1
0.192,0.534666667,postive,1,1
0.381153846,0.594230769,postive,0.75,1
0.13,0.69,postive,0.25,1
0.133140226,0.433392751,postive,0.5,1
0.5,0.5,postive,0,1
0.175925926,0.57337963,postive,0.75,1
-0.327777778,0.488888889,negative,0.75,-1
-0.022222222,0.297222222,negative,0.25,-1
0.007407407,0.55462963,postive,0,1
0.123981019,0.354237429,postive,0.25,1
-0.023809524,0.348809524,negative,0.25,-1
0,0,neutral,1,0
0.166666667,0.483333333,postive,0.5,1
0.164814815,0.563888889,postive,1,1
-0.206111111,0.397777778,negative,0.5,-1
0.054605263,0.424122807,postive,0.75,1
-0.029634503,0.537573099,negative,0.5,-1
0.139669421,0.681818182,postive,1,1
0.138888889,0.423015873,postive,0,1
0.241,0.599333333,postive,0.5,1
0.135897436,0.442948718,postive,0.25,1
0.225,0.522222222,postive,0.5,1
0.35280303,0.695454545,postive,1,1
